ID,animals,professions,cities
1,слон; заяц; волк; олень; кенгуру; жираф; суслик; хомячок; кролик; пингвин; страус; носорог; крокодил; бурый медведь; белый медведь; панда; гризли; уж; еж; колобок; удав; фазан; козел,строитель; редактор; корректор; рабочий; инженер; программист; бухгалтер; часовой; милиционнер; военный; летчик; моряк; машинист; кондуктор; контролер; вахтер; сторож; учитель; педгог; физик; химик; научный работник; астроном; пекарь; карабэл,Москва; Сочи; Нью-Йорк; Вашингтон; Вена; Алма-Ата; Нурсултан; Тель-Авив; Киото; Анкара; Камберра; Оттава; Лондон; Париж; Орел; Ярославль; Кострома; Можайск; Уфа; Новосибирск; Пермь; Тюмень; Комсомольск-на-Амуре; Хабаровск; Тула; Чита
2,собака; кошка; лошадь; кролик; заяц; волк; медведь; бегемот; слон; верблюд; овца; корова; коза; жираф; черепаха; лось; лань,маляр; штукатур; прораб; инженер; врач; учитель; библиотекарь; продавец; уборщица; дворник; хирург; окулист; стоматолог,Астрахань; Ленинград (Санкт-Петербург); Калининград; Воронеж; Свердловск; Калинин; Киев; Кишинев; Ашхабад; 
3,собака; кошка; черепаха; слон; крокодил; обезьяна; лев; тигр; альпака; жираф,водитель; пилот; бортпроводник; слесарь; сантехник; уборщик; дворник; администратор; профессор; преподаватель; учитель; токарь; комбайнер; тракторист,Москва; Санкт-Петербург; Омск; Самара; Саратов; Рязань; Брянск; Нижний Новгород; Дзержинск; Красноярск; Новосибирск; Анадырь; Петропавловск-Камчатский; Комсомольск-на-Амуре; Париж; Барселона; Хельсинки; Осло; Оулу; Милан; Рим; Мадрид; Овьедо; Порту; Лиссабон; Лондон; Манчестер; Ливерпуль; Дублин; Вашингтон; Бостон; Кливленд 
4,кошка; мышка; собака; тигр; лев; канарейка; синица; дрозд; жираф; слон; осетр; сельдь; ворона; леопард; гепард; пантера; крыса; сова; попугай; щука; скворец,психолог; врач; строитель; учитель; профессор; архитектор; музыкант; художник; композитор; менеджер; организатор мероприятий; программист; звукорежиссер; ведущий; модель; администратор; администратор ресторана; фотограф; видеограф,Москва; Омск; Тюмень; Красноярск; Краснодар; Пекин; Токио; Оттава; Рио-де-Жанейро; Минск; Киев; Брянск; Ростов; Таганрог; Тагил; Амстердам; Нью-Йорк; Вашингтон
5,лось; медведь; лиса; волк; корова; собака; кошка; заяц; пингвин; свинья; крыса; кабан,доктор; медсестра; учитель; стоматолог; инженер; директор; начальник; менеджер; маркетолог; водитель; кондуктор; продавщик; дворник; тракторист; комбайнер; доярка,Воркута; Киров; Москва; Санкт-Петербург; Киев; Одесса; Волгоград; Владивосток; Пермь; Кострома; Нижний Новгород; Вологда; Иркутск; Анапа
6,кошка; собака; корова; овца; свинья; лиса; волк; медведь,столяр; плотник; стекольщик; токарь; проходчик; горнорабочий; монтажник; водитель; летчик; космонавт; секретарша; ткачиха,Москва; Белгород; Вологда; Кострома; Киров; Архангельск; Мурманск; Сочи; Ялта; Симферополь
7,медведь; лось; волк; заяц; куропатка; утка,шахтер; электрик; строитель; сантехник; инженер,Москва; Симферополь; Алушта; Сочи; Киров; Санкт-Петербург; Горький; Киев; Воркута; Печора; Инта
8,корова; лошадь; овца; свинья; кролик; медведь; лисица; волк; кабан; косуля; лось; зубр; олень; слон; кит; морской котик; нерпа; еж; заяц; мышь,столяр; монтажник; штукатур; разнорабочий; шофер; рабочий; штурман; колхозник; сельхозрабочий,Ленинград; Волгоград; Калининград; Москва; Киров; Пермь; Казань; Свердловск; Омск; Владивосток; Хабаровск; Чита; Барнаул; Славгород; Ташкент; Тбилиси; Сочи; Одесса; Ростов; Алма-Ата; 
9,кошка; мышка; собачка; слон; носорог; леопард; тигр; слон; хомячок; бурундучок,агроном; доярка; механизатор; шахтер; лаборант; животновод; администратор; менеджер; театральный деятель; певец; лаборант; медсестра; врач; зубной врач,Анапа; Сочи; Туапсе; Тула; Ижевск; Киров; Слободской; Белая Холмицы ; Свердловск; Екатеринбург; Ленинград; Петроград; Москва
10,поросенок; слон; собака; кошка; черепаха; медведь; лиса; волк; заяц; ,врач; бухгалтер; электрик; учитель; сантехник; преподаватель; уборщица; директор; главный инженер; посудомойка; повар,Ленинград; Москва; Сегежа; Киев; Сочи; Мадрид
11,слон; тигр; лев; пантера; собака; кошка; дикобраз; бегемот; крокодил; ,повар; водитель; слесарь; сантехник; плотник; строитель; милиционер; врач; продавец; менеджер; учитель; преподаватель; редактор; режиссер; оператор; артист; бухгалтер; финансист; экономист; курьер; промоутер,Лиссабон; Лондон; Барселона; Мадрид; Берлин; Париж; Прага; Вена; Москва; Санкт-Петербург; Екатеринбург; Новосибирск; Томск; Ереван; Баку; Тбилиси; Рига; Таллин; Самара; Новгород; Ярославль
12,заяц; лиса; волк; олень; птица; синица; ворона; сорока; собака; кошка; корова; овца; коза; курица; утка; гусь,пожарник; милиционер; врач; программист; инженер; конструктор; профессор; преподаватель; учитель; сантехник; автомеханик; работник ЗАГСа; медсестра; стоматолог; уборщик; гардеробщица; актер в театре; актер кинематографа; режиссер; продюсер; дизайнер; композитор; геймдизайнер,москва; санкт-петербург; новосибирск; нижний новгород; архангельск; астрахань; воронеж; казань; ростов-на-дону; новгород; тула; владимир; прага; берлин; париж; барселона; мадрид; нью-йорк; вашингтон; филадельфия; детройт; денвер; лондон; глазго; владивосток; петропавловск-камчатский; каир
13,лиса; змея; волк; собака; кошка; крокодил; гиппопотам; слон; носорог; альбатрос; пингвин; овцебык; овца; бык; корова; медведь; страус; кенгуру; киви; трубкозуб; дикобраз; кролик; ехидна; выдра; ондатра,столяр; плотнк; маляр; преподаватель; учитель; строитель; архитектор; скульптор; художник; дизайнер; статистик; математик; физик; бухгалтер; менеджер; маркетолог; диджей; режиссер; актер; сценарист; оператор; композитор; аранжировщик; инструменталист; вокалист,москва; санкт-петербург; антверпен; роттердам; амстердам; лондон; ипсуч; саутгемптон; манчестер; ливерпуль; глазго; эдинбург; абердин; инвернес; мадрид; лиссабон; барселона; малага; севилья; бильбао; сан-себастьян; торонто; оттава; монреаль; квебек; лондон был...виндзор; эдмонтон; калгари; саскатун; реджайна; ванкувер; сарый; лэнгли; сиэттл; портленд; сан-франциско; юрика; сан-диего; лос-анджелес; нью-йорк; нью-джерси; филадельфия; бостон; баффало; сент-кэтринс; ашава; варшава; прага; люцерн; берн; лугано; беленсоно; милан
14,тигр; лев; обезьяна; собака; кошка; черепаха; ежик; лиса; заяц; лось; медведь; волк; бурундук; кабан; соболь; песец; белка; хорек; антилопа; бегемот,инженер; программист; юрист; учитель; врач; дворник; домоуправ; лифтер; швея; портной; закройщик; фармацевт; аптекарь; продавец; киоскер; историк,алма-ата; астрахань; архангельск; москва; ленинград; петербург; изюм; иркутск; петропавловск-камчатский; владивосток; казань; воркута; воронеж; пенза; волгоград; керчь; серпухов
15,обезьяна; гепард; кошка; собака; черепаха; змея; жираф; зебра; попугай; кит; дельфин; рак; мышь; крыса; заяц; лиса; волк; медведь; белка; червяк; бурундук; скунс; енот,журналист; бухгалтер; социолог; аналитик; психолог; врач; модель; фотограф; оператор; актер; режиссер; маркетолог; PR-менеджер; ассистент; сммщик; медсестра; копирайтер,москва; мурманск; новосибирск; волгоград; санкт-петербург; барселона; малага; ронда; берлин; мюнхен; амстердам; лейден; брюссель; брюгге; гент; люксембург; нью-йорк; вашингтон; токио; сидней; антананариву; алжир
16,волк; овца; баран; жираф; слон; медведь; гепард; тигр; олень; белка; заяц; еж; обезьяна; лиса; опоссум; енот; бурундук; тушканчик; мышь; крыса,учитель; строитель; рабочий; научный сотрудник; лаборант; няня; тренер; спортсмен; шахматист; танцор; гимнаст; программист; актер; государственный чиновник,москва; санкт-петербург; владимир; токио; нью-йорк; амстердам; вашингтон; париж; лондон; кувейт
17,кот; собака; слон; корова; лошадь; овца; тигр; лев; верблюд; свинья; лама; черепаха; ящерица; крокодил; бегемот,повар; учитель; регистратор; медицинская сестра; врач; милиционер, москва; алма-ата; атбасар; аркалык; киров; нижний новгород; пермь; уржум; котельнич; советск; иранск; кирс; омск; томск; барнаул; владивосток; одесса; махачкала; сочи; ялта
18,слон; лиса; жираф; волк; медведь; заяц; еж; тигр; лев; буйвол; бык; лама; кошка; собака; крыса; свинья; олень,бухгалтер; юрист; геодезист; топограф; продавец,омск; киров; пермь; москва; киев; тюмень; орел; днепропетровск
19,лось; кошка; собака; корова; коза; баран; овца; медведь; волк; заяц; крыса; тушканчик; бобер; ондатра,кадастровый инженер; токарь; слесарь; сварщик; повар; секретарь; водитель; все,киров; слободской; кировочепец; котельнич; москва; санкт-петербург; анапа; адлер; сочи; кинешма; владивосток; хабаровск; благовещенск; якутск; томск; омск; тобольск; тюмень; ноябрьск; малмыш; вятские поляны; казань; арск; ульяновск; самара; саратов; волгоград; астрахань; махачкала; грозный
20,медведь; лось; кабан; лиса; ежик; белка; поросенок; корова; овца; коза; медведь; кошка; собака; мышь; хомяк; суслик; бурундук; обезьяна; жираф; волк; тигр; лев; зебра,стоматолог; терапевт; невролог; психиатр; флеболог; фтизиатр; педиатр; хирург; кардиолог; рентгенолог; ревматолог; окулист; гинеколог; акушер; неонатолог,москва; санкт-петербург; киров; орел; волгоград; калининград; краснодар; ростов; сочи; нижний новгород; нижний тагил; челябинск; чебоксары; йошкар-ола; кострома; владимир; муром; ижевск; пермь; омск; томск; хабаровск; владивосток
21,кошка; собака; медведь; лиса; заяц; еж; слон; носорог; индюк; курица; воробей; синица; голубь; грач; страус; скворец,столяр; маляр; художник; врач; психиатр; пожарный; милиционер; музыкант; учитель; продавец; повар; кассир,москва; петушки; санкт-петербург; нижний новгород; екатеринбург; владивосток; владимир; владикавказ; суздаль; киров; калининград; тверь; ульяновск; нью-йорк; берлин; варшава; прага; киев; хабаровск
22,лось; заяц; ежик; волк; медведь; рыба; форель; слон; жираф; лев; тигр; макака; орангутан; змея; червяк; фламинго; пеликан; аист; кошка; собака; хомяк; крыса; мышь; утка; шиншилла,тренер; доктор; инженер; космонавт; агронавт; учитель; продавец; автомойщик; бензозаправщик; бухгалтер; директор; флорист; администратор; ректор; летчик; пилот,армавир; таганрог; гродно; оренбург; грозный; аден; мурманск; калининград; дубна; дмитров; воронеж; жуковский; ижевск; коломна; сочи; геленджик; нальчик; киров; волгоград; донецк; курган
23,собака; кошка; слон; лев; тигр; пума; ягуар; леопард; медведь; волк; соболь; куница; корова; коза; свинья; овца; олень; лось; бобер; енот; росомаха; курица; ворона; орел,повар; летчик; политолог; психолог; специалист по информационной безопасности; трубопроводчик; строитель; телеведущий; асфальтоукладчик; ДПСник; водитель; кондуктор; финансист; экономист; кинолог; чертежник; военный; слесарь; врач,Москва; Санкт-Петербург; Самара; Сызрань; Новосибирск; Екатеринбург; Владивосток; Анадырь; Ростов-на-Дону; Краснодар; Красноярск; Сочи; Симферополь; Севастополь; Одесса; Киев; Варшава; Мадрид; Лиссабон; Нью-Йорк; Квебек; Сантьяго; Тверь; Веллингтон; Нью-Дели; Пекин; Пхеньян; Сеул; Ханой; Хошимин; Тегеран
24,утка; собака; кошка; корова; бык; коза; котенок; леопард; тигр; гепард; антилопа; бизон; зебра; медведь; волк; лось; олень; кенгуру; вомбат; коала; панда; крокодил; аллигатор; верблюд; носорог; мартышка; горилла; шимпанзе,инженер; строитель; учитель; преподаватель; психолог; математик; историк; первооткрыватель; биолог; химик; медик; тракторист; агроном; архитектор; HR-менеджер; юрист в консалтинг-фирме; юрист; судья; адвокат; присяжный; бизнесмен; водитель; уборщица,Лондон; Париж; Пекин; Токио; Москва; Санкт-Петербург; Тмутаракань; Иваново; Саратов; Пенза; Орел; Киров; Нижний Новгород; Ростов-на-Дону; Уэльс; Рио-де-Жанейро; Владисвосток; Владикавказ; Вашингтон; Нью-Йорк; Лос-Анджелес; Торонто; Эдинбург
25,корова; собака; кошка; попугай; зебра; антилопа; слон; жираф; черепаха; крокодил; змея; щука; судак; осетр; акула; пингвин; медведь; лиса; волк; заяц; кролик; морской свинка; крыса; мышь; хомяк,врач; психолог; программист; педагог; строитель; инженер; конструктор; архитектор; физик; математик; биолог; эколог; менеджер; финансист; продавец; банковский работник; тренер; спортсмен; пловец; футболист; волейболист; дворник; уборщик; бармен; официант; повар; слесарь; механик; электрик; столяр,Москва; Санкт-Петербург; Мурманск; Хабаровск; Харьков; Астрахань; Воронеж; Архангельск; Петрозаводск; Гатчина; Сергиев Посад; Калуга; Тула; Брянск; Омск; Ярославль; Новосибирск; Горноалтайск; Барнаул; Магадан; Владикавказ; Владивосток; Новороссийск; Анапа; Севастополь; Симферополь; Алушта; Алупка; Ялта; Феодосия; Судак; Константинополь; Анталия; Венеция; Рим; Лондон; Париж
26,тигр; лось; жираф; пантера; леопард; ехидна; ежик; лиса; волк; медведь; бобер; змея,электрик; сантехник; пекарь; токарь; фрезеровщик; судостроитель; столевар; строитель; штукатур; маляр; плотник; летчик; моряк; солдат; оператор; программист; телевизионщик; видеоинженер; звукооператор; звукорежиссер; диктор,Москва; Астрахань; Алма-Ата; Ташкент; Душанбе; Алупка; Анапа; Алушта; Трускавец; Минводы; Ессентуки; Пятигорск; Киров; Вятка; Тверь; Киев; Ленинград; Кострома; Архангельск; Вологда; Петрозаводск; Устюг; Новгород; Волгоград
27,лев; жираф; собака; рысь; кошка; тигр; пума; жираф; слон; носорог; газель; медведь; заяц; волк; куница; росомаха; белый медведь; ящерица; варан; сайгак; лань; норка; горностай; ласка; енот; кенгуру,врач; инженер; учитель; повар; парикмахер; водитель; инженер; лаборант; химик; технолог; продавец; медсестра; плотник; столяр; электрик; сантехник; водопроводчик; директор; менеджер; художник; реставратор; скульптор; актер; певец,Москва; Рига; Вашингтон; Киев; Сеул; Аддис-Абеба; Париж; Лондон; Харьков; Магадан; Берлин; Брюссель; Мадрид; Рим; Париж; Хельсинки; Таллин; Стокгольм; Тбилиси; Ереван; Баку; Ташкент; Душанбе; Астана; Рио-де-Жанейро; Сан-Франциско; Вашингтон; Нью-Йорк; Мехико; Оттава; Торонто 
28,слон; тигр; пантера; собака; кошка; обезьяна; косуля; лось; гепард; лев; бизон; крокодил; жираф; цапля; тюлень; медведь,психолог; инженер; ученый; исследователь; программист; писатель; литературовед; филолог; музыкант; HR; композитор; учитель; водитель; менеджер,Париж; Москва; Питер; Томск; Челябинск; Самара; Вологда; Киев; Нью-Йорк; Чикаго; Мюнхен; Бухарест; Франкфурт; Берлин; Химки
29,собака; кошка; кролик; овца; жираф; антилопа; обезьяна; свинья; заяц; корова; кенгуру; слон; леопард; тигр,машинист; тракторист; шофер; дворник; садовник; бухгалтер; инженер; архитектор; строитель; монолитчик; менеджер; мерчендайзер; продавец; грузчик,Москва; Брянск; Ротвелл ; Орел; курск; Белгород; Киев; Иваново; Рязань; Тамбов; Термез; Ленинград; Тверь; Иваново
30,лошадь; корова; овца; жираф; олень; лось; медведь; лиса; волк; антилопа; лев; гиена; гепард; леопард; тигр; слон; свинья; кабан; коза; собака; кошка,полицейский; слесарь; водитель; врач; учитель; инженер; летчик; стюардесса; пилот; космонавт; военный; животновод,Москва; Елец; Липецк; Орел; Тамбов; Белгород; Магнитогорск; Владивосток; Нижний Новгород; Ярославль; Курск; Нижний Тагил; Севастополь; Симферополь; Краснодар; Волгоград
31,собака; кошка; слон; жираф; зебра; лев; гиена; человек; попугай; голубь; панда; медведь; носорог; верблюд; дятел; щука; гадюка; змея; богомол; кролик; заяц; лиса; волк,врач; строитель; полицейский; пожарный; менеджер; логист; учитель; космонавт; геолог; летчик; кондуктор; машинист; кассир; продавец; уборщик; воспитатель; преподаватель; бухгалтер; психолог; маркетолог,Москва; Санкт-Петербург; Воронеж; Краснодар; Уфа; Сочи; Нальчик; Махачкала; Вена; Париж; Берлин; Рим; Ереван; Юмри; Стамбул; Анкара; Тбилиси; Баку; Ганджа; Ванадзор; Варшава; Краков; Юрмала; Вильнюс; Каунас; Нью-Йорк; Вашингтон; Глазго
32,слон; кенгуру; пингвин; дельфин; касатка; кит; страус; черепаха; попугай; орел; снегирь; волк; заяц; лиса; медведь; бурундук; сова; филин; галчонок; крот; кошка; собака; мышка; крыса; червь,лингвист; юрист; врач; дипломат; чиновник; депутат; водитель; рабочий; столяр; плотник; фрезеровщик; переводчик; хирург; преподаватель; ректор; административный служащий; продавец; повар; программист; ремонтник,Москва; Сергиев Посад; Подольск; Климовск; Серпухов; Клин; Гатчина; Санкт-Петербург; Мурманск; Нью-Йорк; Дели; Пекин; Химчан ; Токио; Осака; Владивосток; Магадан; Петропавловск-Камчатский; Находка; Хабаровск; Якутск; Мирный; Салехард; Омск; Новосибирск; Красноярск; Махачкала; Грозный; Нальчик; Краснодар; Сочи; Новороссийск; Геленджик; Анапа; Севастополь; Симферополь; Ялта; Ростов-на-Дону; Новочеркасск; Адлер
33,собака; кошка; слон; жираф; зебра; медведь; рысь; гиппопотам; обезьяна; кролик; корова; свинья; баран; россомаха; выдра,математик; химик; аналитик; физик; менеджер; маркетолог; продавец; грузчик; полицейский; следователь; судья; адвокат; учитель; музейный работник; уборщик; уборщица; дворник,Москва; Рига; Киев; Минск; Ереван; Баку; Тбилиси; Ашхабат; Алтмата; Зеленоград; Душамбе; Екатеринбург; Челябинск; Казань; Самара; Сызрань; Ростов; Краснодар; Сочи; Алушта; Феодосия; Симферополь; Ялта; Берлин; Мюнхан; Варшава; София; Прага; Любляны; Анкара; Рим; Неаполь
34,кошка; собака; лисица; змея; слон; гепард; жираф; тигр; волк; зебра; куница; верблюд; львица; шиншилла; черепаха; суслик; кабан; свинья; курица; петух,психолог; журналист; продавец; сммщик; водитель; строитель; зоолог; геолог; химик; профессор; учитель; уборщик; пожарный; визажист; менеджер; политолог; политик; редактор; летчик,Москва; Калининград; Волгоград; Минск; Мюнхен; Лиссабон; Кишинев; Питер; Барселона; Мадрид; Париж; Будапешт; Милан; Рим; Венеция; Берлин; Белгород; Курск; Липецк
35,рысь; лань; леопард; кошка; собака,психолог; биолог; социолог; математик; инженер; физик,Москва; Санкт-Петербург; Милан; Берлин; Париж; Лос-Анджелес; Сан-Франциско; Нью-Йорк; Стокгольм; Осло; Хельсинки
36,,,
37,собака; кошка; свинья; корова; лошадь; слон; тигр; медведь; волк; лиса,врач; учитель; водитель; кондуктор; инженер; директор; секретарь; юрист,Москва; Питер; Киров; Нижний Новгород; Сочи; Адлер; Тюмень; Красноярск; Архангельск
38,слон; собака; обезьяна; крокодил; черепаха; корова; свинья; кошка; заяц; кролик; слон; жираф; верблюд; медведь; лиса; панда; лемур; ленивец,врач; учитель; инженер; риелтор; конструктор; медсестра; программист; бухгалтер; экономист; библиотекарь; литератор; режиссер; актер; музыкант,Москва; Санкт-Петербург; Киров; Словатской; Иранск; Севастополь; Симферополь; Уфа; Тюмень; Хантымансийск; Ржум; Советск; Краснодар; Ленинград; Касторум; Нижний Новгород
39,корова; слон; жираф; черепаха; лошадь,врач; инженер; маркетолог; продавец; дворник; строитель; инженер; делопроизводитель,Киев; Воркута; Сыктывкар; Казань; Ижевск; Минск
40,овца; корова; лошадь; пеликан; пингвин; свинья; собака; кошка; уточка; лебедь; рак; щука; кит; дельфин; акула; белочка; комар,инженер; учитель; летчик; космонавт; программист; врач; железнодорожник; чернорабочий; доярка; дояр; плотник; слесарь; токарь; электрик; строитель,Москва; Ленинград; Тверь; Екатеринбург; Владивосток; Новосибирск; Комсомольск на Амуре; Владимир; Ярославль
41,жираф; бегемот; утка; снегирь; собака; мурена; скумбрия; конь; кот; хомяк; джунгарский хомяк; сирийский хомяк; коза; кура; корова; овца; бык; свинья,флейтистка; тестировщик ПО; программист; рекламист; филолог; онколог; врач; скрипач; музыкант; системаный администратор; предприниматель; учитель; сборщик мебели; механик; слесарь; посудомойщик; домохозяка,Королев; Тула; Орел; Барселона; Кишинев; Сантк-Петербург; Кастрома; Тверь; Щелкова; Ивантеевка; Юбилейный; Москва; Курск; Щенково; Антананариву
42,зебра; лиса; тигр; лев; черепаха; антилопа; лама; конь; собака; кошка; золотой рыбка; свинья; овца; корова; бык; козел; олень; медведь; панда; голубь; ворона; попугай; змея,социолог; политолог; маркетолог; экономист; лингвист; психолог; полицейский; врач; хирург; педиатр; ортопед; кондитер; повар; продавец; кассир; учитель; художник; дизайнер; дирижер; певец; охранник; маляр; парикмахер,Москва; Санкт-Петербург; Орел; Анапа; Сочи; Владивосток; Камчатка; Нью-Йорк; Карабаново; Владимир; Александров; Екатеринбург; Новосибирск; Челябинск; Рязань; Рим; Барселона; Мадрид; Милан
43,лошадь; корова; баран; слон; конь; носорог,врач; инженер; учитель; ветеринар; механик; водитель; разнорабочий; повар; дворник; официант; начальник,Москва; Ленинград; Тула; Тамбов; Сочи; Анапа; Казань; Краснодар; Ноябрьск; Тюмень; Пенза
44,лось; кабан; кошка; собака; корова; коза; овца; дикобраз; носорог; слон; обезьяна; гиппопотам; волк; лиса; ежик; черепаха; дельфин; змея; жираф; утконос; енот; выдра; норка; песец,маркетолог; продавец; врач; учитель; певец; танцор; программист; руководитель; тренер; наладчик; оператор; начальник склада; мастер; литейщик; сталевар; сварщик; строитель; укладчик шпал; маляр; художник; металлург; кондитер; хлебороб; хлебопек,Москва; Рим; Флоренция; Милан; Вена; Будапешт; Тула; Калуга; Боровск; Ташкент; Алма-аты; Владивосток; Хабаровск; Рига; Вильнюс; Таллин; Санкт-Петербург; Петрозаводск; Мурманск; Архангельск; Белгород; Севастополь; Феодосия; Сочи; Краснодар; Норильск; Новосибирск; Магнитка
45,кошка; собака;  дельфин; кит; попугай; голубь; ворон; сорока; дрозд; сова; кукушка; воробей; тетерев; страус; перепел; рысь; енот; бобр; крот; манул; медведь; собака-динго; амурский тигр; лев; пантера; ягуар,звукорежиссер; режиссер; оператор; гример; костюмер; сценарист; помощник режиссера; ассистент; фокус-пулер; продюсер; хлопушка; психолог; ортопед; лор; терапевт; хирург; офтальмолог; анастезиолог; строитель; чернорабочий; уборщик; механик; инженер; технолог; библиотекарь,Москва; Петербург; Рязань; Новгород; Ярославль; Калининград; Севастополь; Ставрополь; Архангельск; Мурманск; Таллин; Владивосток; Хабаровск; Петропавловск-Камчатск; Магадан; Воркута; Алма-Ата; Казань; Бруклин; Нью-Йорк; Сан-Франциско; Лос-Анджелес
46,слон; собака; кошка; тигр; леопард; жираф; бегемот; крокодил; кабан; олень; лось; лев; слон; кролик; петух; корова; коза; баран; овечка; верблюд; ежик; черепаха; дельфин,плотник; врач; математик; учитель; социолог; маркетолог; интернет-разработчик; столяр; машинист; водитель; кондуктор; бухгалтер; юрист,Москва; Казань; Уфа; Набережные Челны; Омск; Ставрополь; Самара; Нижний Новгород; Краснодар; Красноярск; Красногорск; Люберцы; Балашиха; Дмитров; Санкт-Петербург; Владивосток; Орел; Истра
47,волк; собака; медведь; крокодил; медведь; кошка; курица; енот; белка; корова; овца; козел; свинья; лиса; обезьяна; тигр; лев; слон; пантера; черепаха,сварщик; монтажник; строитель; врач; учитель; летчик; бурильщик; шахтер; пилот; адвокат; полицейский; машинист; дорожный строитель; водитель; проходчик; дворник; уборщик; повар; тренер; айтишник; мотальщик,Москва; Санкт-Петербург; Казань; Пермь; Калининград; Иркутск; Ижевск; Глазов; Угловая; Тула; Коломна;  Кашира; Петропавловск; Петрозаводск; Нью-Йорк; Сан-Франциско; Лос-Анджелес; Бруклин